Number,First Level Folder,Second Level Folder,File Name,Corner Index,Liveness Passed,No Face,Gaze Passed,Iou Ratio,fas_multi,fas_gazeY,fas_cutout,fas_print,fas_screen
1,gazePassed,20201105192331,01_br_000.jpg,br,true,false,true,0.577396716101695,0.99883825,0.8741802,8.230325E-9,1.3872962E-18,1.450922E-7
2,gazePassed,20201105192331,02_na_000.jpg,na,true,false,true,0.582765051200565,0.99390876,0.10160523,2.3845221E-9,3.375824E-17,1.0550267E-7
3,gazePassed,20201105192331,03_tr_000.jpg,tr,true,false,true,0.582765051200565,0.99927455,0.08314635,8.136176E-9,7.182943E-17,1.2693809E-7
4,gazePassed,20201105192331,00_br_000.jpg,br,true,false,true,0.5809719279661016,0.99872285,0.8660438,7.4777615E-9,6.540939E-18,1.258674E-7
5,gazePassed,20201105200043,01_br_000.jpg,br,true,false,true,0.5788140402075226,1.0,0.9614459,8.279496E-9,1.6871235E-16,5.3563235E-7
6,gazePassed,20201105200043,02_na_000.jpg,na,true,false,true,0.5960653777561608,0.9999411,0.20037961,2.6868685E-8,1.4409334E-16,1.3926628E-4
7,gazePassed,20201105200043,03_tl_000.jpg,tl,true,false,true,0.5943275778210115,0.9999126,0.24340786,4.254003E-8,7.725452E-17,7.0140806E-5
8,gazePassed,20201105200043,00_br_000.jpg,br,true,false,true,0.5719844357976653,0.9999987,0.9213593,4.806185E-9,1.1456913E-17,2.0444204E-6
9,gazeFailed,20201012150228,03_tr_040.jpg,tr,false,false,false,0.5312545687134503,0.9996939,0.18664894,1.2774442E-8,2.0154874E-11,0.96366537
10,gazeFailed,20201012150228,00_bl_040.jpg,bl,false,false,false,0.45910544590643276,0.9999701,0.5435442,1.3792084E-6,5.1354586E-8,0.99808925
11,gazeFailed,20201012150228,01_bl_040.jpg,bl,false,false,false,0.4855445906432749,0.9999995,0.5547515,9.1534595E-8,2.4969042E-9,0.9967623
12,gazeFailed,20201012150228,02_na_040.jpg,na,false,false,false,0.534375,0.99999523,0.3405685,7.858375E-9,2.4543925E-10,0.9966197
13,gazeFailed,20201012175645,02_na_000.jpg,na,false,false,false,0.6037567084078711,0.9999999,0.16817291,0.005518036,4.9215628E-11,0.001567617
14,gazeFailed,20201012175645,01_br_040.jpg,br,false,false,false,0.569050014907573,1.0,0.19182062,0.00614779,2.5252925E-12,0.0018073621
15,gazeFailed,20201012175645,03_tl_000.jpg,tl,false,false,false,0.6087973315444245,0.9999999,0.35497096,0.0052638273,6.598868E-11,0.014934004
16,gazeFailed,20201012175645,00_br_000.jpg,br,false,false,false,0.5739462209302325,1.0,0.8284282,3.9860202E-4,1.1280911E-12,0.0020307929
17,gazePassed,20201012215124,01_br_000.jpg,br,true,false,true,0.4681237474949899,0.9270029,0.758907,5.1219985E-8,2.1525286E-8,0.010188529
18,gazePassed,20201012215124,02_na_000.jpg,na,true,false,true,0.5047647378089511,0.8859461,0.13735698,8.905674E-9,9.611149E-8,0.04834875
19,gazePassed,20201012215124,03_tl_000.jpg,tl,true,false,true,0.49668086172344683,0.87684,0.08684423,3.8950472E-7,2.008028E-7,0.046912175
20,gazePassed,20201012215124,00_br_000.jpg,br,true,false,true,0.5194764529058116,0.99646497,0.7935555,9.779462E-8,1.8021552E-8,0.36043033
21,gazeFailed,20201012151434,00_bl_040.jpg,bl,false,false,true,0.4449732798931195,0.7914527,0.6587435,2.1053932E-9,2.3673181E-5,0.9419565
22,gazeFailed,20201012151434,02_na_000.jpg,na,false,false,true,0.5211255845023379,0.987789,0.15638474,9.157503E-10,9.9278295E-6,0.71049815
23,gazeFailed,20201012151434,01_bl_040.jpg,bl,false,false,true,0.4603425601202404,0.73100334,0.6287836,8.148457E-10,1.8904229E-6,0.71432155
24,gazeFailed,20201012151434,03_tl_000.jpg,tl,false,false,true,0.5614562458249832,0.9485385,0.14104603,1.4465837E-9,2.2151432E-6,0.6058753
25,gazePassed,20201008155007,01_br_000.jpg,br,true,false,true,0.6516286523553965,0.9999963,0.88541037,5.1523E-7,3.0379005E-10,0.0012904278
26,gazePassed,20201008155007,02_na_000.jpg,na,true,false,true,0.6377646094215861,0.9999975,0.30750543,3.8174812E-6,2.1883273E-9,0.0016804767
27,gazePassed,20201008155007,03_tr_000.jpg,tr,true,false,true,0.6291741204531901,0.99998474,0.2829625,4.1903922E-7,1.397676E-10,0.0024005214
28,gazePassed,20201008155007,00_br_000.jpg,br,true,false,true,0.6377646094215861,0.99999964,0.7659516,1.2295826E-7,9.388136E-11,0.04606436
29,gazeFailed,20201105193248,02_na_000.jpg,na,false,false,false,0.5985745102611941,0.99380726,0.15333971,1.0689978E-10,3.810882E-14,0.0055969106
30,gazeFailed,20201105193248,00_tr_000.jpg,tr,false,false,false,0.5951686878109453,0.94694114,0.121435866,2.7765494E-9,8.38089E-14,0.0010576235
31,gazeFailed,20201105193248,01_tr_000.jpg,tr,false,false,false,0.5917725824004976,0.7729863,0.11673151,5.1015087E-10,3.523421E-14,0.0012255599
32,gazeFailed,20201105193248,03_bl_040.jpg,bl,false,false,false,0.5833236162935325,0.9999087,0.16085939,2.4114188E-10,2.0909849E-14,0.0030240202
33,gazeFailed,20201105194337,00_tl_000.jpg,tl,false,false,true,0.5575284090909091,0.8627999,0.37770104,8.9913327E-10,4.8006644E-11,2.329892E-4
34,gazeFailed,20201105194337,03_bl_000.jpg,bl,false,false,true,0.5700081168831169,0.7727125,1.0021197,7.344453E-9,1.3663317E-12,1.4497199E-5
35,gazeFailed,20201105194337,01_tl_000.jpg,tl,false,false,true,0.5434365981240982,0.8801685,0.4780234,7.520501E-9,8.531544E-11,2.2702497E-4
36,gazeFailed,20201105194337,02_na_040.jpg,na,false,false,true,0.5628607503607503,0.5801558,0.989205,4.7910826E-9,2.2122397E-13,5.634681E-7
37,gazeFailed,20201104203722,02_bl_040.jpg,bl,false,false,false,0.6308001893939394,0.9999833,0.18760113,4.5936254E-6,1.6381164E-12,4.998254E-8
38,gazeFailed,20201104203722,00_tr_000.jpg,tr,false,false,false,0.6221875,0.99999726,0.343859,1.4897976E-4,6.701596E-11,2.2383695E-8
39,gazeFailed,20201104203722,01_na_000.jpg,na,false,false,false,0.6308001893939394,0.9999995,0.8579501,5.82065E-5,4.5335736E-12,1.0998026E-8
40,gazeFailed,20201104203722,03_bl_040.jpg,bl,false,false,false,0.6325284090909091,0.9997093,0.22676489,1.0401258E-6,5.011159E-12,2.0159366E-8
41,gazeFailed,20201105203142,02_na_000.jpg,na,true,false,true,0.5091247162775615,0.8873059,0.15522671,2.6949287E-10,4.2275868E-15,8.895796E-6
42,gazeFailed,20201105203142,03_tr_000.jpg,tr,true,false,true,0.4963572065499351,0.7702248,0.084871836,5.991484E-10,9.100594E-15,9.554581E-6
43,gazeFailed,20201105203142,01_br_040.jpg,br,true,false,true,0.4963572065499351,0.9891384,0.07861924,1.782127E-9,4.957089E-15,2.9511266E-5
44,gazeFailed,20201105203142,00_br_000.jpg,br,true,false,true,0.5011247568093384,0.90240276,0.9350114,7.984894E-10,1.4189517E-15,3.3246893E-6
45,gazePassed,20201026150045,01_br_000.jpg,br,true,false,true,0.46106150793650796,0.9999734,0.93338853,1.3559724E-9,5.220422E-19,3.8538155E-6
46,gazePassed,20201026150045,02_na_000.jpg,na,true,false,true,0.4514396194083694,0.9999262,0.13893485,3.0122664E-9,5.266251E-17,8.667851E-6
47,gazePassed,20201026150045,03_tl_000.jpg,tl,true,false,true,0.44666531385281383,0.9999887,0.10803814,1.8178934E-9,3.7722007E-17,8.438236E-5
48,gazePassed,20201026150045,00_br_000.jpg,br,true,false,true,0.45623647186147187,0.99999666,0.9396765,1.1644225E-8,3.1834122E-18,1.519908E-6
49,gazeFailed,20201105194104,03_br_000.jpg,br,false,false,true,0.5451896194083694,0.9732517,0.9723135,5.4887512E-9,6.471382E-15,1.3061045E-7
50,gazeFailed,20201105194104,01_tl_040.jpg,tl,false,false,true,0.5295251623376623,0.57087517,0.32492393,1.8442659E-8,8.212608E-12,8.291002E-7
